movie_name,movie_score,movie_eval,img_src
肖申克的救赎,9.7,2331646人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,9.6,1733668人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,9.5,1754963人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
这个杀手不太冷,9.4,1932277人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
泰坦尼克号,9.4,1716851人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
美丽人生,9.5,1081305人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
千与千寻,9.4,1833106人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单,9.5,896195人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
盗梦空间,9.3,1697097人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg
忠犬八公的故事,9.4,1165134人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524964039.jpg
星际穿越,9.3,1369984人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
楚门的世界,9.3,1284301人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
海上钢琴师,9.3,1378818人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
三傻大闹宝莱坞,9.2,1549300人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,9.3,1090471人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,9.3,1073784人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
大话西游之大圣娶亲,9.2,1252636人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
疯狂动物城,9.2,1513832人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
无间道,9.2,1040207人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
熔炉,9.3,761047人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
教父,9.3,761684人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
当幸福来敲门,9.1,1244760人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
龙猫,9.2,1038230人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
怦然心动,9.1,1469823人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
控方证人,9.6,362198人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
触不可及,9.3,813349人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
蝙蝠侠：黑暗骑士,9.2,849810人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
末代皇帝,9.3,651190人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
寻梦环游记,9.1,1288058人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg
活着,9.3,659441人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.jpg
何以为家,9.1,815903人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
乱世佳人,9.3,560204人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
哈利·波特与魔法石,9.1,865553人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg
指环王3：王者无敌,9.2,616772人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p691932373.jpg
飞屋环游记,9.0,1085433人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p485887754.jpg
摔跤吧！爸爸,9.0,1282186人评价,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
素媛,9.3,535630人评价,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
少年派的奇幻漂流,9.1,1136378人评价,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
十二怒汉,9.4,375423人评价,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
